FID,FLT_PLAN_ID
20130805848889,FP_00001
20130804712729,FP_00001
20130805867241,FP_00001
20130804736576,FP_00001
20130803697704,FP_00003
20130808099382,FP_00003
20130809210027,FP_00002
20130810273857,FP_00002
20130810310345,FP_00012
20130811377280,FP_00002
20130814581032,FP_00089
20130811363556,FP_00002
20130814655434,FP_00001
20130815670363,FP_00003
20130814643601,FP_00014
20130815681374,FP_00001
20130820137962,FP_00001
20130823418460,FP_00001
20130820167209,FP_00001
20130823451449,FP_00001
20130825589128,FP_00004
20130823440156,FP_00004
20130826671768,FP_00004
20130827754130,FP_00003
20130830037911,FP_00001
20130831110972,FP_00003
20130802595677,FP_00001
20130803681699,FP_00003
20130804705189,FP_00001
20130805800299,FP_00002
20130805801913,FP_00001
20130806890058,FP_00001
20130806933560,FP_00109
20130812461183,FP_00002
20130811392501,FP_00002
20130813502178,FP_00002
20130812476863,FP_00002
20130816839713,FP_00006
20130815662655,FP_00001
20130815752913,FP_00001
20130818942543,FP_00001
20130819076711,FP_00001
20130821188043,FP_00001
20130823375891,FP_00047
20130824455223,FP_00004
20130824466338,FP_00001
20130825563437,FP_00004
20130825579508,FP_00004
20130829861432,FP_00001
20130827714690,FP_00004
20130828858222,FP_00004
20130826664114,FP_00004
20130831083094,FP_00003
20130804747330,FP_00001
20130803698970,FP_00003
20130807014239,FP_00001
20130806922936,FP_00006
20130809235085,FP_00002
20130808112315,FP_00002
20130809202363,FP_00002
20130812476891,FP_00002
20130813490740,FP_00002
20130818987276,FP_00068
20130819035368,FP_00003
20130818984879,FP_00001
20130817903436,FP_00001
20130818985241,FP_00001
20130819078450,FP_00001
20130822307443,FP_00004
20130826639737,FP_00078
20130825538735,FP_00001
20130829926033,FP_00004
20130829859598,FP_00004
20130830023553,FP_00004
20130801519383,FP_00018
20130802601306,FP_00002
20130802623871,FP_00001
20130805867981,FP_00003
20130804745564,FP_00040
20130808141462,FP_00002
20130811346449,FP_00002
20130811356771,FP_00003
20130810292268,FP_00001
20130809197103,FP_00003
20130812472748,FP_00062
20130816849385,FP_00001
20130816834995,FP_00010
20130817893558,FP_00001
20130820126024,FP_00001
20130820158644,FP_00001
20130822342902,FP_00004
20130830956987,FP_00004
20130830025610,FP_00004
20130831048242,FP_00004
20130801493456,FP_00002
20130802554359,FP_00002
20130807979724,FP_00003
20130806878883,FP_00003
20130811324254,FP_00002
20130810267198,FP_00002
20130809226915,FP_00002
20130809192876,FP_00002
20130812451712,FP_00003
20130812397193,FP_00023
20130813545253,FP_00077
20130813555305,FP_00002
20130817871956,FP_00003
20130814644888,FP_00001
20130817913428,FP_00002
20130819059319,FP_00042
20130818955937,FP_00001
20130821262676,FP_00002
20130821196916,FP_00001
20130826616507,FP_00004
20130825593763,FP_00004
20130826655657,FP_00003
20130828842996,FP_00004
20130802564502,FP_00002
20130804754527,FP_00001
20130803689359,FP_00002
20130803639274,FP_00002
20130807971681,FP_00030
20130806894579,FP_00002
20130808110299,FP_00003
20130808073709,FP_00002
20130812447449,FP_00002
20130817901538,FP_00001
20130818988910,FP_00001
20130819008487,FP_00001
20130819010101,FP_00001
20130821261642,FP_00002
20130824523715,FP_00001
20130824503430,FP_00001
20130830037647,FP_00031
20130801447866,FP_00002
20130801474944,FP_00001
20130808075367,FP_00001
20130807044619,FP_00030
20130808113470,FP_00002
20130814641322,FP_00001
20130815706455,FP_00001
20130816845041,FP_00001
20130819043851,FP_00001
20130822352545,FP_00004
20130822355213,FP_00004
20130823435666,FP_00001
20130822355410,FP_00001
20130828780882,FP_00004
20130801438231,FP_00010
20130801466336,FP_00018
20130802578845,FP_00001
20130805787479,FP_00001
20130806948609,FP_00022
20130807985894,FP_00002
20130807052059,FP_00030
20130810257907,FP_00003
20130813567189,FP_00002
20130815685816,FP_00001
20130815750071,FP_00002
20130816845980,FP_00001
20130821182384,FP_00003
20130823419735,FP_00001
20130822332893,FP_00003
20130821197175,FP_00002
20130825599018,FP_00004
20130826612600,FP_00004
20130826680052,FP_00001
20130827766638,FP_00004
20130828854998,FP_00015
20130829863345,FP_00001
20130827731931,FP_00004
20130828802378,FP_00004
20130829946829,FP_00015
20130831056375,FP_00001
20130830037309,FP_00004
20130829936059,FP_00001
