LONGITUDE,LATITUDE,FLT_PLAN_ID
-95.33333333,29.98333333,FP_00001
-92.75,33.25,FP_00001
-89.98333333,35.01666667,FP_00001
-84.05,36.95,FP_00001
-81.11666667,37.78333333,FP_00001
-78.15,38.01666667,FP_00001
-76.06666667,39.05,FP_00001
-74.11666667,40.55,FP_00001
-73.76666667,40.63333333,FP_00001
-72.9,41.23333333,FP_00001
-71.11666667,41.85,FP_00001
-71.0,42.36666667,FP_00001
-95.33333333,29.98333333,FP_00002
-94.65,31.25,FP_00002
-92.18333333,34.68333333,FP_00002
-87.76666667,37.93333333,FP_00002
-83.61666667,40.53333333,FP_00002
-82.16666667,41.35,FP_00002
-79.11666667,42.18333333,FP_00002
-73.8,42.75,FP_00002
-71.03333333,42.45,FP_00002
-70.95,42.26666667,FP_00002
-71.0,42.36666667,FP_00002
-95.33333333,29.98333333,FP_00003
-90.95,30.11666667,FP_00003
-88.36666667,30.73333333,FP_00003
-86.31666667,32.21666667,FP_00003
-83.31666667,33.95,FP_00003
-82.15,34.25,FP_00003
-77.01666667,36.71666667,FP_00003
-75.51666667,38.35,FP_00003
-75.11666667,39.3,FP_00003
-73.53333333,40.8,FP_00003
-72.9,41.23333333,FP_00003
-71.11666667,41.85,FP_00003
-71.0,42.36666667,FP_00003
-95.33333333,29.98333333,FP_00004
-94.65,31.25,FP_00004
-92.18333333,34.68333333,FP_00004
-87.76666667,37.93333333,FP_00004
-83.61666667,40.53333333,FP_00004
-82.16666667,41.35,FP_00004
-79.11666667,42.18333333,FP_00004
-73.8,42.75,FP_00004
-71.03333333,42.45,FP_00004
-70.95,42.26666667,FP_00004
-71.0,42.36666667,FP_00004
-95.33333333,29.98333333,FP_00005
-94.65,31.25,FP_00005
-92.18333333,34.68333333,FP_00005
-87.76666667,37.93333333,FP_00005
-84.05,40.28333333,FP_00005
-79.11666667,42.18333333,FP_00005
-73.8,42.75,FP_00005
-71.03333333,42.45,FP_00005
-70.95,42.26666667,FP_00005
-71.0,42.36666667,FP_00005
-95.33333333,29.98333333,FP_00006
-93.1,30.13333333,FP_00006
-91.3,30.48333333,FP_00006
-88.8,32.38333333,FP_00006
-86.95,33.23333333,FP_00006
-84.43333333,33.63333333,FP_00006
-82.15,34.25,FP_00006
-77.01666667,36.71666667,FP_00006
-75.51666667,38.35,FP_00006
-75.11666667,39.3,FP_00006
-73.53333333,40.8,FP_00006
-72.9,41.23333333,FP_00006
-71.11666667,41.85,FP_00006
-71.0,42.36666667,FP_00006
-95.33333333,29.98333333,FP_00007
-90.95,30.11666667,FP_00007
-88.36666667,30.73333333,FP_00007
-86.31666667,32.21666667,FP_00007
-83.31666667,33.95,FP_00007
-82.15,34.25,FP_00007
-78.78333333,35.86666667,FP_00007
-76.66666667,38.1,FP_00007
-75.78333333,38.95,FP_00007
-74.9,39.91666667,FP_00007
-74.11666667,40.55,FP_00007
-73.76666667,40.63333333,FP_00007
-72.9,41.23333333,FP_00007
-71.11666667,41.85,FP_00007
-71.0,42.36666667,FP_00007
-95.33333333,29.98333333,FP_00008
-90.95,30.11666667,FP_00008
-88.36666667,30.73333333,FP_00008
-84.16666667,33.65,FP_00008
-82.15,34.25,FP_00008
-77.01666667,36.71666667,FP_00008
-75.51666667,38.35,FP_00008
-75.11666667,39.3,FP_00008
-73.76666667,40.63333333,FP_00008
-71.0,42.36666667,FP_00008
-95.33333333,29.98333333,FP_00009
-93.1,30.13333333,FP_00009
-88.48333333,31.1,FP_00009
-77.01666667,36.71666667,FP_00009
-75.51666667,38.35,FP_00009
-75.11666667,39.3,FP_00009
-73.53333333,40.8,FP_00009
-72.9,41.23333333,FP_00009
-71.11666667,41.85,FP_00009
-71.0,42.36666667,FP_00009
-95.33333333,29.98333333,FP_00010
-90.95,30.11666667,FP_00010
-88.36666667,30.73333333,FP_00010
-86.9,33.66666667,FP_00010
-83.9,35.9,FP_00010
-81.11666667,37.78333333,FP_00010
-78.15,38.01666667,FP_00010
-76.06666667,39.05,FP_00010
-74.11666667,40.55,FP_00010
-73.76666667,40.63333333,FP_00010
-72.9,41.23333333,FP_00010
-71.11666667,41.85,FP_00010
-71.0,42.36666667,FP_00010
-95.33333333,29.98333333,FP_00011
-92.75,33.25,FP_00011
-88.9,34.63333333,FP_00011
-86.68333333,36.13333333,FP_00011
-80.7,39.56666667,FP_00011
-76.6,41.53333333,FP_00011
-73.8,42.75,FP_00011
-71.03333333,42.45,FP_00011
-70.95,42.26666667,FP_00011
-71.0,42.36666667,FP_00011
-95.33333333,29.98333333,FP_00012
-94.65,31.25,FP_00012
-92.18333333,34.68333333,FP_00012
-87.76666667,37.93333333,FP_00012
-83.61666667,40.53333333,FP_00012
-82.16666667,41.35,FP_00012
-79.11666667,42.18333333,FP_00012
-73.8,42.75,FP_00012
-70.96666667,42.43333333,FP_00012
-71.0,42.36666667,FP_00012
-95.33333333,29.98333333,FP_00013
-90.95,30.11666667,FP_00013
-88.36666667,30.73333333,FP_00013
-86.31666667,32.21666667,FP_00013
-77.01666667,36.71666667,FP_00013
